long,lat,group,order,region,subregion
-73.92874146,40.80605316,34,9050,new york,manhattan
-73.93447876,40.78886414,34,9051,new york,manhattan
-73.95166016,40.7774086,34,9052,new york,manhattan
-73.96311951,40.7544899,34,9053,new york,manhattan
-73.96884918,40.73730087,34,9054,new york,manhattan
-73.97457886,40.72584152,34,9055,new york,manhattan
-74.00322723,40.71438217,34,9056,new york,manhattan
-74.02041626,40.7086525,34,9057,new york,manhattan
-74.02615356,40.72010803,34,9058,new york,manhattan
-74.00322723,40.76594543,34,9059,new york,manhattan
-73.97457886,40.79459763,34,9060,new york,manhattan
-73.95166016,40.83470154,34,9061,new york,manhattan
-73.93447876,40.84043503,34,9062,new york,manhattan
-73.92874146,40.83470154,34,9063,new york,manhattan
-73.93447876,40.82324219,34,9064,new york,manhattan
-73.92874146,40.80605316,34,9065,new york,manhattan
-79.7671814,42.2613678,35,9067,new york,main
-79.69843292,42.29574585,35,9068,new york,main
-79.54946136,42.35877228,35,9069,new york,main
-79.43486786,42.42752457,35,9070,new york,main
-79.40621948,42.45044327,35,9071,new york,main
-79.38330078,42.47336197,35,9072,new york,main
-79.34892273,42.49054718,35,9073,new york,main
-79.32027435,42.49628067,35,9074,new york,main
-79.28590393,42.51346588,35,9075,new york,main
-79.21141815,42.54211807,35,9076,new york,main
-79.15985107,42.55930328,35,9077,new york,main
-79.12547302,42.57649231,35,9078,new york,main
-79.10255432,42.60514069,35,9079,new york,main
-79.05671692,42.65670776,35,9080,new york,main
-79.04525757,42.69108582,35,9081,new york,main
-79.02233887,42.71400452,35,9082,new york,main
-78.99369049,42.71973419,35,9083,new york,main
-78.90774536,42.74265289,35,9084,new york,main
-78.87337494,42.7598381,35,9085,new york,main
-78.85617828,42.811409,35,9086,new york,main
-78.88482666,42.8572464,35,9087,new york,main
-78.90201569,42.90307999,35,9088,new york,main
-78.90201569,42.9431839,35,9089,new york,main
-78.91921234,42.96037674,35,9090,new york,main
-78.94785309,42.9661026,35,9091,new york,main
-78.97650146,42.94891739,35,9092,new york,main
-78.98223114,42.97183609,35,9093,new york,main
-79.01660919,42.99475479,35,9094,new york,main
-79.01660919,43.02339935,35,9095,new york,main
-79.01087952,43.05204773,35,9096,new york,main
