"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","cleaned","score","date","time","zipcode","rnum","zcode"
"1",1,"staying in tonight watching Netflix &amp; sipping on wine <ed><U+00A0><U+00BD><ed><U+00B3><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BD><ed><U+00B9><U+0088> (@ At The Crib in New York, NY) https://t.co/fODHi9J25z",FALSE,0,NA,"2015-10-04 03:13:32",FALSE,NA,650509025960923136,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","locadeldiabloo",0,FALSE,FALSE,-73.95361626,40.82497237,"staying in tonight watching Netflix amp sipping on wine edUAUBDedUBUBCedUAUBCedUBDUBedUAUBDedUBUAt The Crib in New York NY",0,2015-10-04,"03:13:32","a",1,10031
"2",2,"Awesome looking sky tonight over The Empire State Building!<U+2601><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>#empirestatebuilding #esbny #esb #nyc… https://t.co/crYQ7RDQ7V",FALSE,0,NA,"2015-10-04 03:07:17",FALSE,NA,650507453767946240,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TOYDEN",0,FALSE,FALSE,-73.98562585,40.74880257,"Awesome looking sky tonight over The Empire State BuildingUUFEFedUAUBDedUBUedUAUBDedUBUAempirestatebuilding esbny esb nyc…",1,2015-10-04,"03:07:17","a",2,10118
"3",4,"Ain't building over drinks w a pretty joint tonight so I'm not mad that I'm @ work",FALSE,0,NA,"2015-10-04 03:03:43",FALSE,NA,650506555478159360,NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","MarkB_LifeStyle",1,FALSE,FALSE,-74.028524,40.622309,"Aint building over drinks w a pretty joint tonight so Im not mad that Imwork",0,2015-10-04,"03:03:43","a",3,11209
"4",5,"I love that this is our new neighborhood bar! I can order an Aviation or Last Word. @ Hyacinth's Haven https://t.co/G1LXUPmTE4",FALSE,1,NA,"2015-10-04 03:01:21",FALSE,NA,650505961036206080,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nilsareyna",0,FALSE,FALSE,-73.9421997,40.8177528,"I love that this is our new neighborhood bar I can order an Aviation or Last WordHyacinths Haven",1,2015-10-04,"03:01:21","a",4,10030
"5",6,"#ChristianLouboutin window makeup peacock at Saks @ Saks Fifth Avenue New York https://t.co/Sk4DVqwwtw",FALSE,0,NA,"2015-10-04 02:52:22",FALSE,NA,650503701430448128,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PriteshMistry",0,FALSE,FALSE,-73.9768219,40.7579689,"ChristianLouboutin window makeup peacock at SaksSaks Fifth Avenue New York",0,2015-10-04,"02:52:22","a",5,10022
"6",7,"My apartment might be just one skull away from a one stop freak shop #sorrystu #cantstopwontstop… https://t.co/deu95hgdnO",FALSE,1,NA,"2015-10-04 02:50:49",FALSE,NA,650503309317545984,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","laurenkeasey",0,FALSE,FALSE,-74.0064,40.7142,"My apartment might be just one skull away from a one stop freak shop sorrystu cantstopwontstop…",-1,2015-10-04,"02:50:49","a",6,10007
"7",8,"In a hood near u tha hood dont luv me but i walk through it again.bitty @… https://t.co/qBqLKoUJMG",FALSE,0,NA,"2015-10-04 02:50:16",FALSE,NA,650503170901184512,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","babyfa5egang",0,FALSE,FALSE,-73.87784511,40.67589492,"In a hood near u tha hood dont luv me but i walk through it againbitty …",0,2015-10-04,"02:50:16","a",7,11208
"8",9,"Skylight view from this bar is the Empire State Building, which means this is a terrible bar. http://t.co/44GiFgjZwt",FALSE,0,NA,"2015-10-04 02:48:50",FALSE,NA,650502809528463360,NA,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon (Classic)</a>","mattlurrie",0,FALSE,FALSE,-73.9852167,40.7497672,"Skylight view from this bar is the Empire State Building which means this is a terrible bar",-1,2015-10-04,"02:48:50","a",8,10001
"9",10,"Built in 1902, Macy's in New York's Herald Square was apparently the first building in the world to… https://t.co/lt8t1tXlY9",FALSE,0,NA,"2015-10-04 02:47:55",FALSE,NA,650502580565614592,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DanielZiv",0,FALSE,FALSE,-73.98916667,40.75083333,"Built inMacys in New Yorks Herald Square was apparently the first building in the world to…",0,2015-10-04,"02:47:55","a",9,10001
"10",11,"Just added Barrier Oktoberfest on tap. See our full beer menu: http://t.co/jZ0jxIyYtG @BarrierBrewing #BeerMenus",FALSE,0,NA,"2015-10-04 02:46:33",FALSE,NA,650502235588292608,NA,"<a href=""http://www.beermenus.com"" rel=""nofollow"">Beer Menus </a>","FHStationHouse",0,FALSE,FALSE,-73.845223,40.7194922,"Just added Barrier Oktoberfest on tap See our full beer menuBeerMenus",0,2015-10-04,"02:46:33","a",10,11375
"11",12,"Yup already down the block.  I dropping a bunch of new mixes from… https://t.co/uiVAXposeP",FALSE,0,NA,"2015-10-04 02:44:50",FALSE,NA,650501805781196800,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DJSirWilliam",0,FALSE,FALSE,-74.0292053,40.7364159,"Yup already down the blockI dropping a bunch of new mixes from…",0,2015-10-04,"02:44:50","a",11,7030
"12",13,"That first month after we moved to Franklin Avenue in Crown Heights. #memories #calabarimports… https://t.co/C2N4VERURs",FALSE,0,NA,"2015-10-04 02:42:59",FALSE,NA,650501340389470208,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Calabar_Imports",0,FALSE,FALSE,-73.9567566,40.6744347,"That first month after we moved to Franklin Avenue in Crown Heights memories calabarimports…",0,2015-10-04,"02:42:59","a",12,11238
"13",14,"My beautiful girls @ Flatbush Avenue https://t.co/niFxL0nB11",FALSE,0,NA,"2015-10-04 02:42:52",FALSE,NA,650501310517768192,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","omergolan",0,FALSE,FALSE,-73.9575,40.6425,"My beautiful girlsFlatbush Avenue",1,2015-10-04,"02:42:52","a",13,11226
"14",15,"@DelilahNoBSzone I would never block someone for disagreeing w/me. I did block the woman who hoped I wd burn in hell. I block ppl for (1/3)",FALSE,1,"DelilahNoBSzone","2015-10-04 02:38:45",FALSE,650495862997676032,650500275233517568,3403547631,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","kathykattenburg",0,FALSE,FALSE,-74.13895387,40.77477477,"I would never block someone for disagreeing wme I did block the woman who hoped I wd burn in hell I block ppl for",-3,2015-10-04,"02:38:45","a",14,7032
"15",16,"I always knew @ 86th Street (IRT Lexington Avenue Line) https://t.co/Ey7HArx6Qy",FALSE,0,NA,"2015-10-04 02:37:56",FALSE,NA,650500068341063680,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","eteoclesm",0,FALSE,FALSE,-73.955626,40.779469,"I always knewth Street IRT Lexington Avenue Line",0,2015-10-04,"02:37:56","a",15,10028
"16",17,"Late Bday Gift... @ Ricardo Steak House https://t.co/oK7LH2SRVL",FALSE,0,NA,"2015-10-04 02:33:36",FALSE,NA,650498975208984576,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DirectorsCutInc",0,FALSE,FALSE,-73.9406065,40.79345575,"Late Bday GiftRicardo Steak House",0,2015-10-04,"02:33:36","a",16,10029
"17",18,"Hello Empire State Building. We'll be in you soon. #newyork #stuarts40thbirthday @ Empire State Building https://t.co/kbmLBuEtc8",FALSE,1,NA,"2015-10-04 02:33:25",FALSE,NA,650498931076415488,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","stuARTfoto",0,FALSE,FALSE,-73.98562585,40.74880257,"Hello Empire State Building Well be in you soon newyork stuartsthbirthdayEmpire State Building",1,2015-10-04,"02:33:25","a",17,10118
"18",19,"Tea time <ed><U+00A0><U+00BC><ed><U+00BD><U+00B5><ed><U+00A0><U+00BC><ed><U+00BD><U+0082> @ Rose House https://t.co/5zV2GntKsp",FALSE,0,NA,"2015-10-04 02:32:34",FALSE,NA,650498716026048512,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","THORJUTA",0,FALSE,FALSE,-73.8293304,40.7605705,"Tea time edUAUBCedUBDUBedUAUBCedUBDURose House",0,2015-10-04,"02:32:34","a",18,11354
"19",20,"JUST CLOSED...1000 Avenue at
Port Imperial. Direct views,… https://t.co/QI3iYJvLgG",FALSE,0,NA,"2015-10-04 02:29:21",FALSE,NA,650497907704102912,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","KimmelElise",0,FALSE,FALSE,-74.015427,40.768903,"JUST CLOSED Avenue at
Port Imperial Direct views…",0,2015-10-04,"02:29:21","a",19,7086
"20",21,"ANY BLOCK!<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008F> #snapChat ---&gt;oh_itzlala @ Coney Island https://t.co/JOuyLetANL",FALSE,0,NA,"2015-10-04 02:28:37",FALSE,NA,650497723532210176,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Oh_itzlala",0,FALSE,FALSE,-73.97858333,40.57441667,"ANY BLOCKedUAUBDedUBUedUAUBDedUBUF snapChat gtohitzlalaConey Island",0,2015-10-04,"02:28:37","a",20,11224
"21",22,"Housewarming mom and dads new apartment with Molly <ed><U+00A0><U+00BD><ed><U+00B0><U+00B6><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE> @ Central Park Upper East Side https://t.co/NWbPiY9upv",FALSE,0,NA,"2015-10-04 02:26:46",FALSE,NA,650497255984730112,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JoeyHealyBrows",0,FALSE,FALSE,-73.96574533,40.77696704,"Housewarming mom and dads new apartment with Molly edUAUBDedUBUBedUAUBDedUBUBECentral Park Upper East Side",0,2015-10-04,"02:26:46","a",21,10024
"22",24,"Getting my iPhone 6s. Good thing I had a reservation! (@ Apple Store, Fifth Avenue in New York, NY) https://t.co/N6GxQwILYK",FALSE,0,NA,"2015-10-04 02:25:56",FALSE,NA,650497046089199616,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","mattconvente",0,FALSE,FALSE,-73.97301,40.76382254,"Getting my iPhone s Good thing I had a reservationApple Store Fifth Avenue in New York NY",1,2015-10-04,"02:25:56","a",22,10153
"23",25,"Update: Construction on #B63Bus BOTHDIR at 5th Avenue : 60th Street http://t.co/lFMZSqdH1G",FALSE,0,NA,"2015-10-04 02:23:38",FALSE,NA,650496469292724224,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NY",0,FALSE,FALSE,-74.016113,40.639419,"Update Construction on BBus BOTHDIR at th Avenueth Street",0,2015-10-04,"02:23:38","a",23,11220
"24",26,"Update: Construction on #B63Bus BOTHDIR at 5th Avenue : 60th Street http://t.co/XMdGtwD9Pe",FALSE,0,NA,"2015-10-04 02:23:38",FALSE,NA,650496468575481856,NA,"<a href=""https://511ny.org"" rel=""nofollow"">511NY-Tweets</a>","511NYC",1,FALSE,FALSE,-74.016113,40.639419,"Update Construction on BBus BOTHDIR at th Avenueth Street",0,2015-10-04,"02:23:38","a",24,11220
